3.75,6.58,5.51,24.54,14.28,12.62,14.33,8.75
4.49,6.6,5.87,24.86,14.28,12.64,14.33,8.77
4.51,8.65,5.88,26.74,14.36,13.26,14.95,10.65
4.71,8.66,6.09,27.8,14.54,13.28,15.15,11.16
4.89,8.66,6.65,28.94,14.58,14.24,16.57,11.17
4.94,8.68,6.71,29.11,14.59,14.25,16.57,11.39
5.73,8.69,7.61,30.14,15.07,15.31,17.64,11.5
6.0,9.03,8.22,30.51,15.07,15.35,17.64,13.09
6.58,9.07,8.58,31.92,15.44,15.66,18.09,13.1
6.67,10.22,8.59,34.29,15.85,15.86,18.11,13.52
6.7,14.5,8.61,34.31,15.98,16.01,18.38,13.74
6.7,14.56,8.9,34.31,15.99,16.11,18.4,13.74
6.94,16.22,8.92,34.5,16.01,16.24,18.54,14.75
