41.58,12.88,13.74,14.43,5.03,5.6,26.79,50.81,3.0
29.53,13.11,22.76,10.33,5.02,5.13,21.44,32.37,3.0
42.71,14.22,12.76,9.35,3.72,6.82,28.91,41.72,3.0
20.42,6.88,8.17,58.67,18.8,7.63,19.97,9.7,4.0
5.03,10.48,4.81,50.12,21.89,8.73,4.02,2.87,4.0
5.37,8.41,5.99,57.79,14.99,6.61,3.27,2.81,4.0
4.48,7.47,3.07,46.71,20.62,8.34,3.27,3.1,4.0
5.22,8.57,3.4,43.84,19.43,8.67,3.44,3.07,4.0
5.3,10.63,3.19,85.72,20.2,8.91,3.9,3.29,4.0
4.73,6.84,2.57,59.14,22.18,10.59,4.04,3.18,4.0
4.32,5.23,2.96,58.61,16.15,8.35,3.07,3.04,4.0
5.8,9.18,3.27,61.5,15.56,9.08,4.39,3.59,4.0
4.54,8.08,2.31,55.54,16.13,6.92,3.71,3.36,4.0
5.35,8.15,3.05,74.62,19.1,9.52,3.35,3.75,4.0
4.51,7.82,2.54,53.4,19.75,7.94,2.5,2.13,4.0
4.33,7.78,3.09,59.55,20.77,6.79,3.18,2.76,4.0
5.11,8.73,3.75,49.66,18.72,5.37,3.44,3.36,4.0
3.59,5.61,3.19,53.69,17.78,5.64,2.11,2.16,4.0
4.6,7.41,2.6,40.78,13.91,6.24,3.38,3.02,4.0
3.26,6.45,2.05,51.04,14.68,6.86,2.77,2.98,4.0
4.57,6.96,2.5,38.27,19.59,7.64,3.51,3.12,4.0
5.04,9.93,2.26,34.75,14.18,7.38,2.73,2.8,4.0
3.32,7.22,3.41,57.25,17.4,8.31,3.55,2.63,4.0
8.5,6.28,6.03,6.93,6.94,6.51,6.36,3.05,0.0
3.51,2.28,3.39,4.18,5.36,1.64,1.86,1.3,0.0
3.22,2.67,5.57,4.04,5.23,5.79,6.06,2.51,0.0
1.52,3.0,4.61,4.4,3.63,3.71,3.51,1.9,0.0
1.32,1.53,3.44,3.13,4.84,2.54,2.22,1.43,0.0
